订阅名称 (Subscription Name),日期 (Date),产品 (Product),服务 (Meter Category),服务类型 (Meter Sub-Category),服务资源 (Meter Name),已消耗资源数量 (Consumed Quantity),资源费率 (ResourceRate),扩展的成本 (ExtendedCost),服务信息 (Consumed Service),组件 (Instance ID),(Unit of Measure),(Resource Group)
Clobotics Azure China - Retail,05/01/2022,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2 - CN East 2,Virtual Machines,Dv2/DSv2 Series,D3 v2/DS3 v2,0.200004,1.919628497,0.383933378,Microsoft.Compute,/subscriptions/73bddc57-e285-42a6-a9df-64bbd1342d37/resourceGroups/DATABRICKS-RG-CN-DATABRICKS-PROD-Y45JX6AKRZ6XA/providers/Microsoft.Compute/virtualMachines/23e17af72d204f73a02bd93d5e85a80b,Hours,DATABRICKS-RG-CN-DATABRICKS-PROD-Y45JX6AKRZ6XA
Clobotics Azure China - Retail,05/01/2022,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2 - CN East 2,Virtual Machines,Dv2/DSv2 Series,D3 v2/DS3 v2,1.066688,1.919628497,2.047644682,Microsoft.Compute,/subscriptions/73bddc57-e285-42a6-a9df-64bbd1342d37/resourceGroups/DATABRICKS-RG-CN-DATABRICKS-PROD-Y45JX6AKRZ6XA/providers/Microsoft.Compute/virtualMachines/488479ee8efb4e6ba70eea72a18bcf5d,Hours,DATABRICKS-RG-CN-DATABRICKS-PROD-Y45JX6AKRZ6XA
Clobotics Azure China - Retail,05/01/2022,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2 - CN East 2,Virtual Machines,Dv2/DSv2 Series,D3 v2/DS3 v2,1.216691,1.919628497,2.335594715,Microsoft.Compute,/subscriptions/73bddc57-e285-42a6-a9df-64bbd1342d37/resourceGroups/DATABRICKS-RG-CN-DATABRICKS-PROD-Y45JX6AKRZ6XA/providers/Microsoft.Compute/virtualMachines/efae8456ff4b43e0853eefbeb2b53bde,Hours,DATABRICKS-RG-CN-DATABRICKS-PROD-Y45JX6AKRZ6XA
Clobotics Azure China - Retail,05/01/2022,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2 - CN East 2,Virtual Machines,Dv2/DSv2 Series,D3 v2/DS3 v2,0.183337,1.919628497,0.35193893,Microsoft.Compute,/subscriptions/73bddc57-e285-42a6-a9df-64bbd1342d37/resourceGroups/DATABRICKS-RG-CN-DATABRICKS-PROD-Y45JX6AKRZ6XA/providers/Microsoft.Compute/virtualMachines/ea1b67d74bc8494a8112fbcaf8d33251,Hours,DATABRICKS-RG-CN-DATABRICKS-PROD-Y45JX6AKRZ6XA
Clobotics Azure China - Retail,05/01/2022,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2 - CN East 2,Virtual Machines,Dv2/DSv2 Series,D3 v2/DS3 v2,23.383361,1.919628497,44.88736612,Microsoft.Compute,/subscriptions/73bddc57-e285-42a6-a9df-64bbd1342d37/resourceGroups/DATABRICKS-RG-CN-DATABRICKS-PROD-Y45JX6AKRZ6XA/providers/Microsoft.Compute/virtualMachines/c701e184978a46188bdaa7154f43776b,Hours,DATABRICKS-RG-CN-DATABRICKS-PROD-Y45JX6AKRZ6XA
Clobotics Azure China - Retail,05/01/2022,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2 - CN East 2,Virtual Machines,Dv2/DSv2 Series,D3 v2/DS3 v2,23.383341,1.919628497,44.88732773,Microsoft.Compute,/subscriptions/73bddc57-e285-42a6-a9df-64bbd1342d37/resourceGroups/DATABRICKS-RG-CN-DATABRICKS-PROD-Y45JX6AKRZ6XA/providers/Microsoft.Compute/virtualMachines/5c8668830a064ee49f648d1f6c1f278d,Hours,DATABRICKS-RG-CN-DATABRICKS-PROD-Y45JX6AKRZ6XA
Clobotics Azure China - Retail,05/01/2022,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2 - CN East 2,Virtual Machines,Dv2/DSv2 Series,D3 v2/DS3 v2,0.16667,1.919628497,0.319944482,Microsoft.Compute,/subscriptions/73bddc57-e285-42a6-a9df-64bbd1342d37/resourceGroups/DATABRICKS-RG-DWBI-PROD-RPLFCYLTQPQYU/providers/Microsoft.Compute/virtualMachines/7faa820436dd4758ae02dc86bc053d81,Hours,DATABRICKS-RG-DWBI-PROD-RPLFCYLTQPQYU
Clobotics Azure China - Retail,05/01/2022,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2 - CN East 2,Virtual Machines,Dv2/DSv2 Series,D3 v2/DS3 v2,3.6667,1.919628497,7.038701809,Microsoft.Compute,/subscriptions/73bddc57-e285-42a6-a9df-64bbd1342d37/resourceGroups/DATABRICKS-RG-DWBI-PROD-RPLFCYLTQPQYU/providers/Microsoft.Compute/virtualMachines/5fb01ec0f1af4369bb9a315b63a01dc3,Hours,DATABRICKS-RG-DWBI-PROD-RPLFCYLTQPQYU
Clobotics Azure China - Retail,05/01/2022,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2 - CN East 2,Virtual Machines,Dv2/DSv2 Series,D3 v2/DS3 v2,0.433342,1.919628497,0.831855652,Microsoft.Compute,/subscriptions/73bddc57-e285-42a6-a9df-64bbd1342d37/resourceGroups/DATABRICKS-RG-DWBI-PROD-RPLFCYLTQPQYU/providers/Microsoft.Compute/virtualMachines/662680a7c76b4401bd3a03856b1f00a8,Hours,DATABRICKS-RG-DWBI-PROD-RPLFCYLTQPQYU
Clobotics Azure China - Retail,05/01/2022,Virtual Machines Dv2/DSv2 Series - D3 v2/DS3 v2 - CN East 2,Virtual Machines,Dv2/DSv2 Series,D3 v2/DS3 v2,1.900018,1.919628497,3.647328697,Microsoft.Compute,/subscriptions/73bddc57-e285-42a6-a9df-64bbd1342d37/resourceGroups/DATABRICKS-RG-DWBI-PROD-RPLFCYLTQPQYU/providers/Microsoft.Compute/virtualMachines/a690f35b3de344bbad1fbed747ba6f2a,Hours,DATABRICKS-RG-DWBI-PROD-RPLFCYLTQPQYU
